Draft Number,Round Number,Player,Team,Conference,Position,Team Name,Owner Name,Season,Player ID,Player Birth Place,Player Birth Country,Player Height (in),Player Weight (lbs),Player DOB,Player Age,Fantasy Points,G,A,+/-,PTS,PIM,PPG,PPA,SHG,SHA,GWG,FOW,FOL,25,TTOI,ATOI,SOG,30,HIT,BLK,GP,STPG,STPA,STP,PPP,SHP,HAT,GS,W,L,SA,GA,SV,SO,MIN,OTL,GAA,SV%,12,DEF,99,5
2,1,Steven Stamkos,TB,Eastern,C,Are you feeling it now Mr Krabs,Brandon Nguyen,20172018,5037.0,"Markham, ON",CAN,73.0,193.0,7/2/1990,27.0,292.0,27.0,59.0,18.0,86.0,72.0,15.0,18.0,,,1.0,466.0,426.0,1736.0,87864.0,1126.4615384615386,212.0,78.0,61.0,35.0,78.0,15.0,18.0,33.0,33.0,,,,,,,,,,,,,,,,,
3,1,Connor McDavid,EDM,Western,C,Old Man Jenkins,Maanik Bhandari,20172018,3895074.0,"Richmond Hill, ON",CAN,73.0,194.0,13/1/1997,20.0,382.0,41.0,67.0,20.0,108.0,26.0,5.0,15.0,1.0,3.0,7.0,376.0,533.0,1940.0,106034.0,1293.0975609756097,274.0,82.0,28.0,46.0,82.0,6.0,18.0,24.0,20.0,4.0,3.0,,,,,,,,,,,,,,,
4,1,Nikita Kucherov,TB,Eastern,RW,Taco Gato,Nam Le,20172018,2563060.0,"Maikop, RUS",RUS,72.0,173.0,17/6/1993,24.0,343.0,39.0,61.0,15.0,100.0,42.0,8.0,28.0,,,7.0,3.0,2.0,1817.0,95143.0,1189.2875,279.0,80.0,31.0,15.0,80.0,8.0,28.0,36.0,36.0,,,,,,,,,,,,,,,,,
5,1,Brent Burns,SJ,Western,D,Stay Gold Ponyboy,bryan lam,20172018,2300.0,"Barrie, ON",CAN,77.0,228.0,9/3/1985,32.0,231.0,12.0,55.0,-16.0,67.0,46.0,5.0,22.0,,1.0,2.0,,,2275.0,124194.0,1514.560975609756,332.0,82.0,79.0,136.0,82.0,5.0,23.0,28.0,27.0,1.0,,,,,,,,,,,,,,67.0,,
6,1,Johnny Gaudreau,CGY,Western,LW,May I Take Your Hat Sir?,Ivan Chow,20172018,2563039.0,"Salem, NJ",USA,69.0,163.0,13/8/1993,24.0,280.0,24.0,60.0,2.0,84.0,26.0,3.0,21.0,,,4.0,1.0,4.0,1716.0,93234.0,1165.425,227.0,80.0,16.0,18.0,80.0,3.0,21.0,24.0,24.0,,,,,,,,,,,,,,,,,
7,1,Patrick Kane,CHI,Western,RW,"NO, THIS IS PATRICK",Brian Duong,20172018,3735.0,"Buffalo, NY",USA,70.0,177.0,19/11/1988,29.0,254.0,27.0,49.0,-20.0,76.0,32.0,5.0,17.0,,,4.0,7.0,11.0,1872.0,99318.0,1211.1951219512196,285.0,82.0,18.0,14.0,82.0,5.0,17.0,22.0,22.0,,,,,,,,,,,,,,,,,
8,2,Erik Karlsson,OTT,Eastern,D,"NO, THIS IS PATRICK",Brian Duong,20172018,5164.0,"Landsbro, SWE",SWE,72.0,186.0,31/5/1990,27.0,207.0,9.0,53.0,-25.0,62.0,36.0,3.0,15.0,,1.0,2.0,,,2161.0,113914.0,1604.4225352112676,196.0,71.0,58.0,120.0,71.0,3.0,16.0,19.0,18.0,1.0,,,,,,,,,,,,,,62.0,,
9,2,Jamie Benn,DAL,Western,LW,May I Take Your Hat Sir?,Ivan Chow,20172018,3998.0,"Victoria, BC",CAN,75.0,206.0,18/7/1989,28.0,286.0,36.0,43.0,20.0,79.0,54.0,9.0,13.0,1.0,1.0,7.0,381.0,345.0,2367.0,97529.0,1189.378048780488,241.0,82.0,140.0,62.0,82.0,10.0,14.0,24.0,22.0,2.0,2.0,,,,,,,,,,,,,,,
10,2,Auston Matthews,TOR,Eastern,C,Stay Gold Ponyboy,bryan lam,20172018,4024123.0,"San Ramon, CA",USA,75.0,217.0,17/9/1997,20.0,207.0,34.0,29.0,25.0,63.0,12.0,5.0,8.0,,,5.0,375.0,313.0,1497.0,67437.0,1087.6935483870968,187.0,62.0,16.0,61.0,62.0,5.0,8.0,13.0,13.0,,,,,,,,,,,,,,,,,
11,2,Nicklas Backstrom,WSH,Eastern,C,Taco Gato,Nam Le,20172018,3666.0,"Gavle, SWE",SWE,73.0,202.0,23/11/1987,30.0,243.0,21.0,50.0,5.0,71.0,46.0,7.0,19.0,,,4.0,702.0,669.0,1811.0,95550.0,1179.6296296296296,165.0,81.0,37.0,51.0,81.0,7.0,19.0,26.0,26.0,,,,,,,,,,,,,,,,,
12,2,Victor Hedman,TB,Eastern,D,Old Man Jenkins,Maanik Bhandari,20172018,5157.0,"Ornskoldsvik, SWE",SWE,79.0,244.0,18/12/1990,27.0,218.0,17.0,46.0,32.0,63.0,54.0,2.0,24.0,,2.0,1.0,1.0,1.0,2117.0,119430.0,1551.0389610389611,216.0,77.0,139.0,110.0,77.0,2.0,26.0,28.0,26.0,2.0,,,,,,,,,,,,,,63.0,,
13,2,Braden Holtby,WSH,Eastern,G,Are you feeling it now Mr Krabs,Brandon Nguyen,20172018,5075.0,"Lloydminster, SK",CAN,74.0,211.0,16/9/1989,28.0,204.0,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,54.0,34.0,16.0,1648.0,153.0,1495.0,,184068.0,4.0,2.9923723841189127,0.9071601941747572,0.6296296296296297,,,5.0
14,2,Alex Ovechkin,WSH,Eastern,RW,Seoul Fried Chicken,vince tran,20172018,3101.0,"Moscow, USSR",USSR,75.0,238.0,17/9/1985,32.0,326.0,49.0,38.0,3.0,87.0,32.0,17.0,14.0,,,7.0,3.0,5.0,1730.0,99110.0,1208.658536585366,355.0,82.0,139.0,21.0,82.0,17.0,14.0,31.0,31.0,,3.0,,,,,,,,,,,,,,,
15,3,Patrik Laine,WPG,Western,RW,Seoul Fried Chicken,vince tran,20172018,4024820.0,"Tampere, FIN",FIN,76.0,208.0,19/4/1998,19.0,258.0,44.0,26.0,8.0,70.0,24.0,20.0,11.0,,,8.0,11.0,32.0,1662.0,81085.0,988.8414634146342,241.0,82.0,74.0,43.0,82.0,20.0,11.0,31.0,31.0,,1.0,,,,,,,,,,,,,,,
16,3,Evgeni Malkin,PIT,Eastern,C,Are you feeling it now Mr Krabs,Brandon Nguyen,20172018,3124.0,"Magnitogorsk, USSR",USSR,77.0,210.0,31/7/1986,31.0,348.0,42.0,56.0,16.0,98.0,87.0,14.0,24.0,,,7.0,460.0,592.0,1829.0,88873.0,1139.3974358974358,239.0,78.0,48.0,32.0,78.0,14.0,24.0,38.0,38.0,,1.0,,,,,,,,,,,,,,,
17,3,Tyler Seguin,DAL,Western,C,Old Man Jenkins,Maanik Bhandari,20172018,5430.0,"Brampton, ON",CAN,74.0,201.0,31/1/1992,25.0,276.0,40.0,38.0,12.0,78.0,43.0,14.0,11.0,1.0,1.0,6.0,790.0,650.0,2370.0,102870.0,1254.5121951219512,335.0,82.0,74.0,44.0,82.0,15.0,12.0,27.0,25.0,2.0,1.0,,,,,,,,,,,,,,,
18,3,Mark Scheifele,WPG,Western,C,Taco Gato,Nam Le,20172018,2562632.0,"Kitchener, ON",CAN,75.0,207.0,15/3/1993,24.0,211.0,23.0,37.0,19.0,60.0,18.0,8.0,8.0,2.0,1.0,3.0,594.0,565.0,1475.0,74442.0,1240.7,125.0,60.0,57.0,31.0,60.0,10.0,9.0,19.0,16.0,3.0,1.0,,,,,,,,,,,,,,,
19,3,Cam Atkinson,CLS,Western,RW,Stay Gold Ponyboy,bryan lam,20172018,2501107.0,"Riverside, CT",USA,68.0,178.0,5/6/1989,28.0,163.0,24.0,22.0,19.0,46.0,14.0,3.0,7.0,1.0,,5.0,21.0,44.0,1542.0,73716.0,1134.0923076923077,231.0,65.0,32.0,29.0,65.0,4.0,7.0,11.0,10.0,1.0,1.0,,,,,,,,,,,,,,,
20,3,Vladimir Tarasenko,STL,Western,RW,May I Take Your Hat Sir?,Ivan Chow,20172018,5837.0,"Yaroslavl, RUS",RUS,73.0,219.0,13/12/1991,26.0,219.0,33.0,33.0,15.0,66.0,17.0,6.0,10.0,,,5.0,1.0,3.0,1851.0,91474.0,1143.425,306.0,80.0,89.0,37.0,80.0,6.0,10.0,16.0,16.0,,,,,,,,,,,,,,,,,
21,3,Brad Marchand,BOS,Eastern,LW,"NO, THIS IS PATRICK",Brian Duong,20172018,3852.0,"Halifax, NS",CAN,69.0,180.0,11/5/1988,29.0,299.0,34.0,51.0,25.0,85.0,63.0,8.0,15.0,1.0,3.0,8.0,50.0,76.0,1650.0,80441.0,1182.9558823529412,182.0,68.0,37.0,25.0,68.0,9.0,18.0,27.0,23.0,4.0,1.0,,,,,,,,,,,,,,,
22,4,Blake Wheeler,WPG,Western,RW,"NO, THIS IS PATRICK",Brian Duong,20172018,3961.0,"Plymouth, MN",USA,77.0,222.0,31/8/1986,31.0,326.0,23.0,68.0,13.0,91.0,52.0,6.0,34.0,,2.0,2.0,166.0,196.0,2056.0,98447.0,1215.3950617283951,246.0,81.0,94.0,66.0,81.0,6.0,36.0,42.0,40.0,2.0,1.0,,,,,,,,,,,,,,,
23,4,John Tavares,NYI,Eastern,C,May I Take Your Hat Sir?,Ivan Chow,20172018,5160.0,"Mississauga, ON",CAN,73.0,211.0,20/9/1990,27.0,306.0,37.0,47.0,-12.0,84.0,26.0,12.0,18.0,2.0,1.0,3.0,913.0,813.0,1895.0,98032.0,1195.5121951219512,257.0,82.0,30.0,34.0,82.0,14.0,19.0,33.0,30.0,3.0,2.0,,,,,,,,,,,,,,,
24,4,Joe Pavelski,SJ,Western,C,Stay Gold Ponyboy,bryan lam,20172018,3451.0,"Plover, WI",USA,73.0,196.0,11/7/1984,33.0,222.0,22.0,44.0,,66.0,41.0,7.0,16.0,,,1.0,500.0,411.0,1970.0,94737.0,1155.3292682926829,224.0,82.0,93.0,70.0,82.0,7.0,16.0,23.0,23.0,,,,,,,,,,,,,,,,,
25,4,Jack Eichel,BUF,Eastern,C,Taco Gato,Nam Le,20172018,3648002.0,"North Chelmsford, MA",USA,74.0,208.0,28/10/1996,21.0,227.0,25.0,39.0,-25.0,64.0,32.0,3.0,17.0,,2.0,4.0,347.0,489.0,1558.0,80976.0,1208.597014925373,246.0,67.0,52.0,35.0,67.0,3.0,19.0,22.0,20.0,2.0,1.0,,,,,,,,,,,,,,,
26,4,P.K. Subban,NSH,Western,D,Old Man Jenkins,Maanik Bhandari,20172018,4044.0,"Toronto, ON",CAN,72.0,210.0,13/5/1989,28.0,205.0,16.0,43.0,18.0,59.0,82.0,5.0,20.0,,1.0,2.0,1.0,2.0,2323.0,118644.0,1446.878048780488,207.0,82.0,111.0,90.0,82.0,5.0,21.0,26.0,25.0,1.0,,,,,,,,,,,,,,59.0,,
27,4,Carey Price,MON,Eastern,G,Are you feeling it now Mr Krabs,Brandon Nguyen,20172018,3231.0,"Burns Lake, BC",CAN,75.0,217.0,16/8/1987,30.0,102.0,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,48.0,16.0,26.0,1487.0,148.0,1339.0,1.0,171277.0,7.0,3.1107504218313027,0.9004707464694015,0.32653061224489793,,,8.0
28,4,Shea Weber,MON,Eastern,D,Seoul Fried Chicken,vince tran,20172018,2278.0,"Sicamous, BC",CAN,76.0,229.0,14/8/1985,32.0,55.0,6.0,10.0,-8.0,16.0,14.0,2.0,3.0,,1.0,1.0,,,796.0,39543.0,1520.8846153846155,75.0,26.0,66.0,59.0,26.0,2.0,4.0,6.0,5.0,1.0,,,,,,,,,,,,,,16.0,,
29,5,Roman Josi,NSH,Western,D,Seoul Fried Chicken,vince tran,20172018,5436.0,"Bern, SUI",SUI,73.0,201.0,1/6/1990,27.0,183.0,14.0,39.0,24.0,53.0,24.0,7.0,13.0,,1.0,3.0,,,2152.0,110117.0,1468.2266666666667,253.0,75.0,80.0,120.0,75.0,7.0,14.0,21.0,20.0,1.0,,,,,,,,,,,,,,53.0,,
30,5,Dustin Byfuglien,WPG,Western,D,Are you feeling it now Mr Krabs,Brandon Nguyen,20172018,3070.0,"Roseau, MN",USA,77.0,260.0,27/3/1985,32.0,159.0,8.0,37.0,15.0,45.0,112.0,4.0,18.0,,1.0,1.0,,,1728.0,100763.0,1460.3333333333333,193.0,69.0,147.0,100.0,69.0,4.0,19.0,23.0,22.0,1.0,,,,,,,,,,,,,,45.0,,
31,5,Matt Murray,PIT,Eastern,G,Old Man Jenkins,Maanik Bhandari,20172018,3067862.0,"Thunder Bay, ON",CAN,76.0,178.0,25/5/1994,23.0,168.0,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,45.0,27.0,16.0,1423.0,133.0,1290.0,1.0,163978.0,3.0,2.9199038895461586,0.9065354884047786,0.5869565217391305,,,5.0
32,5,John Klingberg,DAL,Western,D,Taco Gato,Nam Le,20172018,2590751.0,"Gothenburg, SWE",SWE,74.0,185.0,14/8/1992,25.0,227.0,8.0,59.0,10.0,67.0,26.0,1.0,22.0,,,3.0,,,2272.0,118447.0,1444.4756097560976,204.0,82.0,44.0,109.0,82.0,1.0,22.0,23.0,23.0,,,,,,,,,,,,,,,67.0,,
33,5,Alex Pietrangelo,STL,Western,D,Stay Gold Ponyboy,bryan lam,20172018,4013.0,"King City, ON",CAN,75.0,215.0,18/1/1990,27.0,181.0,15.0,39.0,8.0,54.0,22.0,3.0,10.0,,1.0,5.0,,,2179.0,120447.0,1544.1923076923076,216.0,78.0,48.0,164.0,78.0,3.0,11.0,14.0,13.0,1.0,,,,,,,,,,,,,,54.0,,
34,5,Jonathan Quick,LA,Western,G,May I Take Your Hat Sir?,Ivan Chow,20172018,3634.0,"Hamden, CT",USA,73.0,220.0,21/1/1986,31.0,228.0,,,,,,,,,,,,,,,,,64.0,,,,,,,,,,63.0,33.0,28.0,1867.0,147.0,1720.0,5.0,220625.0,3.0,2.398640226628895,0.9212640599892876,0.515625,,,7.0
35,5,Sergei Bobrovsky,CLS,Western,G,"NO, THIS IS PATRICK",Brian Duong,20172018,5571.0,"Novokuznetsk, USSR",USSR,74.0,180.0,20/9/1988,29.0,252.0,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,65.0,37.0,22.0,1993.0,158.0,1835.0,5.0,234694.0,6.0,2.4235813442184293,0.9207225288509784,0.5692307692307692,,,7.0
36,6,Evgeny Kuznetsov,WSH,Eastern,C,"NO, THIS IS PATRICK",Brian Duong,20172018,5647.0,"Chelyabinsk, RUS",RUS,74.0,207.0,19/5/1992,25.0,288.0,27.0,56.0,3.0,83.0,48.0,7.0,23.0,1.0,,8.0,450.0,568.0,1600.0,89168.0,1128.7088607594937,187.0,79.0,50.0,26.0,79.0,8.0,23.0,31.0,30.0,1.0,,,,,,,,,,,,,,,,
37,6,Claude Giroux,PHI,Eastern,C,May I Take Your Hat Sir?,Ivan Chow,20172018,3775.0,"Hearst, ON",CAN,71.0,186.0,12/1/1988,29.0,352.0,34.0,68.0,28.0,102.0,20.0,9.0,27.0,,,1.0,638.0,450.0,2074.0,100188.0,1221.8048780487804,193.0,82.0,30.0,23.0,82.0,9.0,27.0,36.0,36.0,,1.0,,,,,,,,,,,,,,,
38,6,Devan Dubnyk,MIN,Western,G,Stay Gold Ponyboy,bryan lam,20172018,3242.0,"Regina, SK",CAN,78.0,224.0,4/5/1986,31.0,240.0,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,59.0,35.0,16.0,1769.0,145.0,1624.0,5.0,207019.0,7.0,2.5215076877001628,0.9180327868852459,0.603448275862069,,,7.0
39,6,Kevin Shattenkirk,NYR,Eastern,D,Taco Gato,Nam Le,20172018,5008.0,"New Rochelle, NY",USA,72.0,203.0,29/1/1989,28.0,82.0,5.0,18.0,-14.0,23.0,44.0,2.0,10.0,,,1.0,,,1173.0,55951.0,1216.3260869565217,94.0,46.0,44.0,65.0,46.0,2.0,10.0,12.0,12.0,,,,,,,,,,,,,,,23.0,,
40,6,Leon Draisaitl,EDM,Western,C,Old Man Jenkins,Maanik Bhandari,20172018,3114727.0,"Cologne, GER",GER,74.0,209.0,27/10/1995,22.0,226.0,25.0,45.0,-7.0,70.0,30.0,6.0,5.0,3.0,1.0,1.0,672.0,526.0,1759.0,90419.0,1159.2179487179487,194.0,78.0,40.0,24.0,78.0,9.0,6.0,15.0,11.0,4.0,,,,,,,,,,,,,,,,
41,6,Kris Letang,PIT,Eastern,D,Are you feeling it now Mr Krabs,Brandon Nguyen,20172018,3539.0,"Montreal, QC",CAN,72.0,193.0,24/4/1987,30.0,175.0,9.0,42.0,-9.0,51.0,56.0,4.0,16.0,,1.0,1.0,,1.0,2350.0,120058.0,1519.7215189873418,222.0,79.0,109.0,108.0,79.0,4.0,17.0,21.0,20.0,1.0,,,,,,,,,,,,,,51.0,,
42,6,Anze Kopitar,LA,Western,C,Seoul Fried Chicken,vince tran,20172018,3183.0,"Jesenice, YUG",YUG,75.0,225.0,24/8/1987,30.0,320.0,35.0,57.0,21.0,92.0,20.0,7.0,20.0,,2.0,6.0,983.0,833.0,2143.0,108658.0,1325.0975609756097,200.0,82.0,50.0,64.0,82.0,7.0,22.0,29.0,27.0,2.0,1.0,,,,,,,,,,,,,,,
43,7,Pekka Rinne,NSH,Western,G,Seoul Fried Chicken,vince tran,20172018,3157.0,"Kempele, FIN",FIN,77.0,217.0,3/11/1982,35.0,300.0,,,,,,,,,,,,,,,,,59.0,,,,,,,,,,59.0,42.0,13.0,1840.0,134.0,1706.0,8.0,208527.0,4.0,2.3133694917204966,0.9271739130434783,0.711864406779661,,,7.0
44,7,Max Pacioretty,MON,Eastern,LW,Are you feeling it now Mr Krabs,Brandon Nguyen,20172018,4005.0,"New Canaan, CT",USA,74.0,217.0,20/11/1988,29.0,131.0,17.0,20.0,-16.0,37.0,30.0,6.0,9.0,1.0,,4.0,7.0,13.0,1503.0,73007.0,1140.734375,212.0,64.0,118.0,27.0,64.0,7.0,9.0,16.0,15.0,1.0,,,,,,,,,,,,,,,,
45,7,David Pastrnak,BOS,Eastern,LW,Old Man Jenkins,Maanik Bhandari,20172018,3114778.0,"Havirov, CZE",CZE,72.0,199.0,25/5/1996,21.0,280.0,35.0,45.0,10.0,80.0,37.0,13.0,13.0,,,5.0,5.0,20.0,1739.0,88392.0,1077.9512195121952,246.0,82.0,55.0,31.0,82.0,13.0,13.0,26.0,26.0,,1.0,,,,,,,,,,,,,,,
46,7,Duncan Keith,CHI,Western,D,Taco Gato,Nam Le,20172018,2306.0,"Winnipeg, MB",CAN,73.0,192.0,16/7/1983,34.0,107.0,2.0,30.0,-29.0,32.0,28.0,2.0,8.0,,,1.0,,,2419.0,117229.0,1429.621951219512,187.0,82.0,41.0,165.0,82.0,2.0,8.0,10.0,10.0,,,,,,,,,,,,,,,32.0,,
47,7,Artemi Panarin,CLS,Western,C,Stay Gold Ponyboy,bryan lam,20172018,3891952.0,"Korkino, USSR",USSR,72.0,177.0,30/10/1991,26.0,281.0,27.0,55.0,23.0,82.0,26.0,7.0,14.0,,,5.0,,7.0,1875.0,97835.0,1207.8395061728395,228.0,81.0,15.0,19.0,81.0,7.0,14.0,21.0,21.0,,1.0,,,,,,,,,,,,,,,
48,7,Drew Doughty,LA,Western,D,May I Take Your Hat Sir?,Ivan Chow,20172018,3995.0,"London, ON",CAN,73.0,210.0,8/12/1989,28.0,205.0,10.0,50.0,23.0,60.0,54.0,3.0,17.0,1.0,,4.0,,1.0,2511.0,132031.0,1610.1341463414635,205.0,82.0,127.0,128.0,82.0,4.0,17.0,21.0,20.0,1.0,,,,,,,,,,,,,,60.0,,
49,7,Dougie Hamilton,CGY,Western,D,"NO, THIS IS PATRICK",Brian Duong,20172018,2562605.0,"Toronto, ON",CAN,78.0,230.0,17/6/1993,24.0,157.0,17.0,27.0,1.0,44.0,64.0,6.0,6.0,,,4.0,1.0,2.0,2087.0,105932.0,1291.8536585365853,270.0,82.0,83.0,80.0,82.0,6.0,6.0,12.0,12.0,,1.0,,,,,,,,,,,,,44.0,,
50,8,Ryan Getzlaf,ANA,Western,C,"NO, THIS IS PATRICK",Brian Duong,20172018,2310.0,"Regina, SK",CAN,75.0,228.0,10/5/1985,32.0,198.0,11.0,50.0,20.0,61.0,42.0,,13.0,1.0,1.0,,406.0,443.0,1438.0,71990.0,1285.5357142857142,117.0,56.0,96.0,57.0,56.0,1.0,14.0,15.0,13.0,2.0,,,,,,,,,,,,,,,,
51,8,Phil Kessel,PIT,Eastern,RW,May I Take Your Hat Sir?,Ivan Chow,20172018,3479.0,"Madison, WI",USA,71.0,208.0,2/10/1987,30.0,324.0,34.0,58.0,-4.0,92.0,36.0,12.0,30.0,,,6.0,6.0,13.0,1823.0,91935.0,1121.158536585366,261.0,82.0,10.0,17.0,82.0,12.0,30.0,42.0,42.0,,,,,,,,,,,,,,,,,
52,8,Wayne Simmonds,PHI,Eastern,LW,Stay Gold Ponyboy,bryan lam,20172018,3817.0,"Scarborough, ON",CAN,74.0,185.0,26/8/1988,29.0,170.0,24.0,22.0,-16.0,46.0,57.0,11.0,6.0,1.0,,5.0,12.0,9.0,1700.0,81394.0,1085.2533333333333,176.0,75.0,129.0,54.0,75.0,12.0,6.0,18.0,17.0,1.0,1.0,,,,,,,,,,,,,,,
53,8,Zach Werenski,CLS,Western,D,Taco Gato,Nam Le,20172018,3899972.0,"Grosse Pointe, MI",USA,74.0,211.0,19/7/1997,20.0,124.0,16.0,21.0,8.0,37.0,16.0,3.0,7.0,,,3.0,,,2047.0,104301.0,1354.5584415584415,207.0,77.0,58.0,92.0,77.0,3.0,7.0,10.0,10.0,,,,,,,,,,,,,,,37.0,,
54,8,William Nylander,TOR,Eastern,RW,Old Man Jenkins,Maanik Bhandari,20172018,3114736.0,"Calgary, AB",CAN,72.0,202.0,1/5/1996,21.0,203.0,20.0,41.0,20.0,61.0,10.0,5.0,7.0,,,8.0,334.0,316.0,1869.0,82107.0,1001.3048780487804,184.0,82.0,21.0,18.0,82.0,5.0,7.0,12.0,12.0,,,,,,,,,,,,,,,,,
55,8,Patrice Bergeron,BOS,Eastern,C,Are you feeling it now Mr Krabs,Brandon Nguyen,20172018,2280.0,"Ancienne-Lorette, QC",CAN,73.0,195.0,24/7/1985,32.0,237.0,30.0,33.0,21.0,63.0,26.0,10.0,11.0,2.0,1.0,6.0,784.0,584.0,1574.0,74640.0,1166.25,224.0,64.0,48.0,42.0,64.0,12.0,12.0,24.0,21.0,3.0,2.0,,,,,,,,,,,,,,,
56,8,Ryan Suter,MIN,Western,D,Seoul Fried Chicken,vince tran,20172018,3047.0,"Madison, WI",USA,73.0,201.0,21/1/1985,32.0,179.0,6.0,45.0,-1.0,51.0,34.0,1.0,22.0,,1.0,2.0,,,2108.0,125318.0,1606.6410256410256,149.0,78.0,78.0,138.0,78.0,1.0,23.0,24.0,23.0,1.0,,,,,,,,,,,,,,51.0,,
57,9,Jeff Carter,LA,Western,RW,Seoul Fried Chicken,vince tran,20172018,2383.0,"London, ON",CAN,75.0,219.0,1/1/1985,32.0,87.0,13.0,9.0,4.0,22.0,2.0,6.0,3.0,1.0,,2.0,222.0,176.0,630.0,28905.0,1070.5555555555557,85.0,27.0,27.0,11.0,27.0,7.0,3.0,10.0,9.0,1.0,1.0,,,,,,,,,,,,,,,
58,9,T.J. Oshie,WSH,Eastern,RW,Are you feeling it now Mr Krabs,Brandon Nguyen,20172018,5034.0,"Everett, WA",USA,72.0,187.0,23/12/1986,31.0,162.0,18.0,29.0,2.0,47.0,31.0,9.0,9.0,,,3.0,101.0,110.0,1541.0,81747.0,1104.6891891891892,127.0,74.0,124.0,54.0,74.0,9.0,9.0,18.0,18.0,,,,,,,,,,,,,,,,,
59,9,Rasmus Ristolainen,BUF,Eastern,D,Old Man Jenkins,Maanik Bhandari,20172018,3041999.0,"Turku, FIN",FIN,76.0,208.0,27/10/1994,23.0,147.0,6.0,35.0,-25.0,41.0,48.0,1.0,22.0,,,1.0,,,2115.0,116067.0,1589.958904109589,182.0,73.0,206.0,111.0,73.0,1.0,22.0,23.0,23.0,,,,,,,,,,,,,,,41.0,,
60,9,Oliver Ekman-Larsson,ARI,Western,D,Taco Gato,Nam Le,20172018,5488.0,"Karlskrona, SWE",SWE,74.0,192.0,17/7/1991,26.0,144.0,14.0,28.0,-28.0,42.0,44.0,6.0,9.0,,,3.0,,1.0,2398.0,116515.0,1420.9146341463415,202.0,82.0,160.0,79.0,82.0,6.0,9.0,15.0,15.0,,,,,,,,,,,,,,,42.0,,
61,9,Daniel Sedin,VAN,Western,LW,Stay Gold Ponyboy,bryan lam,20172018,836.0,"Ornskoldsvik, SWE",SWE,73.0,190.0,26/9/1980,37.0,193.0,23.0,32.0,-21.0,55.0,40.0,9.0,14.0,,,5.0,18.0,22.0,1693.0,74214.0,916.2222222222222,189.0,81.0,38.0,2.0,81.0,9.0,14.0,23.0,23.0,,,,,,,,,,,,,,,,,
62,9,Nick Leddy,NYI,Eastern,D,May I Take Your Hat Sir?,Ivan Chow,20172018,5447.0,"Eden Prairie, MN",USA,72.0,205.0,20/3/1991,26.0,141.0,10.0,32.0,-42.0,42.0,20.0,4.0,10.0,,,1.0,,,1966.0,107621.0,1345.2625,153.0,80.0,95.0,104.0,80.0,4.0,10.0,14.0,14.0,,,,,,,,,,,,,,,42.0,,
63,9,Aleksander Barkov,FLA,Eastern,C,"NO, THIS IS PATRICK",Brian Duong,20172018,3041970.0,"Tampere, FIN",FIN,75.0,214.0,2/9/1995,22.0,259.0,27.0,51.0,9.0,78.0,14.0,5.0,12.0,5.0,,3.0,908.0,789.0,2155.0,104612.0,1324.2025316455697,256.0,79.0,30.0,67.0,79.0,10.0,12.0,22.0,17.0,5.0,,,,,,,,,,,,,,,,
64,10,Mitch Marner,TOR,Eastern,C,"NO, THIS IS PATRICK",Brian Duong,20172018,3899937.0,"Markham, ON",CAN,72.0,180.0,5/5/1997,20.0,236.0,22.0,47.0,-1.0,69.0,26.0,8.0,19.0,,,2.0,50.0,45.0,1824.0,80629.0,983.280487804878,194.0,82.0,31.0,25.0,82.0,8.0,19.0,27.0,27.0,,,,,,,,,,,,,,,,,
65,10,Martin Jones,SJ,Western,G,May I Take Your Hat Sir?,Ivan Chow,20172018,5096.0,"North Vancouver, BC",CAN,77.0,203.0,10/1/1990,27.0,204.0,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,60.0,30.0,22.0,1699.0,145.0,1554.0,4.0,204944.0,6.0,2.547037239441018,0.914655679811654,0.5172413793103449,,,10.0
66,10,Henrik Sedin,VAN,Western,C,Stay Gold Ponyboy,bryan lam,20172018,837.0,"Ornskoldsvik, SWE",SWE,74.0,192.0,26/9/1980,37.0,167.0,3.0,47.0,-22.0,50.0,30.0,,17.0,,,,438.0,504.0,1724.0,76498.0,932.9024390243902,67.0,82.0,18.0,19.0,82.0,,17.0,17.0,17.0,,,,,,,,,,,,,,,,,
67,10,Filip Forsberg,NSH,Western,C,Taco Gato,Nam Le,20172018,2968772.0,"Ostervala, SWE",SWE,73.0,205.0,13/8/1994,23.0,229.0,26.0,38.0,27.0,64.0,38.0,13.0,8.0,,1.0,6.0,4.0,5.0,1601.0,70246.0,1048.44776119403,179.0,67.0,86.0,37.0,67.0,13.0,9.0,22.0,21.0,1.0,1.0,,,,,,,,,,,,,,,
68,10,Cam Talbot,EDM,Western,G,Old Man Jenkins,Maanik Bhandari,20172018,5734.0,"Caledonia, ON",CAN,76.0,200.0,5/7/1987,30.0,192.0,,,,,,,,,,,,,,,,,67.0,,,,,,,,,,67.0,31.0,31.0,2036.0,188.0,1848.0,1.0,223806.0,3.0,3.02404761266454,0.9076620825147348,0.47692307692307695,,,7.0
